"","data","PAA.Setpoint","hrt","sample.count"
"1",0.46,2,538.474752906518,2
"2",1.18,2,64.1201813396202,2
"3",0.21,2,983.107825671124,2
"4",0,2,1427.49705720234,2
"5",0.85,2,538.474752906518,3
"6",1.21,2,64.1201813396202,3
"7",0.71,2,983.107825671124,3
"8",0.47,2,1427.49705720234,3
"9",1.07,2,538.474752906518,4
"10",1.29,2,64.1201813396202,4
"11",0.93,2,983.107825671124,4
"12",0.57,2,1427.49705720234,4
"13",0.58,2,538.474752906518,5
"14",1.09,2,64.1201813396202,5
"15",0.16,2,983.107825671124,5
"16",0.03,2,1427.49705720234,5
"17",0.7,2,538.474752906518,6
"18",1.24,2,64.1201813396202,6
"19",0.68,2,983.107825671124,6
"20",0.17,2,1427.49705720234,6
"21",0.83,2,538.474752906518,7
"22",1.25,2,64.1201813396202,7
"23",0.73,2,983.107825671124,7
"24",0.49,2,1427.49705720234,7
"25",0.39,2,538.474752906518,9
"26",1.32,2,64.1201813396202,9
"27",0.1,2,983.107825671124,9
"28",0.06,2,1427.49705720234,9
"29",0.74,2,538.474752906518,10
"30",1.09,2,64.1201813396202,10
"31",0.64,2,983.107825671124,10
"32",0.41,2,1427.49705720234,10
"33",0.96,2,538.474752906518,11
"34",1.18,2,64.1201813396202,11
"35",0.7,2,983.107825671124,11
"36",0.49,2,1427.49705720234,11
"37",0.26,2,538.474752906518,12
"38",1.17,2,64.1201813396202,12
"39",0.06,2,983.107825671124,12
"40",0.01,2,1427.49705720234,12
"41",0.75,2,538.474752906518,13
"42",1.44,2,64.1201813396202,13
"43",0.66,2,983.107825671124,13
"44",0.35,2,1427.49705720234,13
"45",0.96,2,538.474752906518,14
"46",1.17,2,64.1201813396202,14
"47",0.68,2,983.107825671124,14
"48",0.42,2,1427.49705720234,14
"49",0.51,2,538.474752906518,17
"50",1.34,2,64.1201813396202,17
"51",0.09,2,983.107825671124,17
"52",0.04,2,1427.49705720234,17
"53",0.73,2,538.474752906518,18
"54",1.17,2,64.1201813396202,18
"55",0.59,2,983.107825671124,18
"56",0.3,2,1427.49705720234,18
"57",0.75,2,538.474752906518,19
"58",1.16,2,64.1201813396202,19
"59",0.56,2,983.107825671124,19
"60",0.47,2,1427.49705720234,19
"61",0.28,2,538.474752906518,20
"62",1.12,2,64.1201813396202,20
"63",0,2,983.107825671124,20
"64",0,2,1427.49705720234,20
"65",0.62,2,538.474752906518,21
"66",1.04,2,64.1201813396202,21
"67",0.49,2,983.107825671124,21
"68",0.24,2,1427.49705720234,21
"69",0.88,2,538.474752906518,22
"70",1.07,2,64.1201813396202,22
"71",0.64,2,983.107825671124,22
"72",0.33,2,1427.49705720234,22
"73",0.2,1.6,666.517133818764,28
"74",0.8,1.6,78.9291354946783,28
"75",0,1.6,1217.42143938053,28
"76",0,1.6,1768.12076300832,28
"77",0.6,1.6,666.517133818764,29
"78",0.8,1.6,78.9291354946783,29
"79",0.4,1.6,1217.42143938053,29
"80",0.2,1.6,1768.12076300832,29
"81",0.6,1.6,666.517133818764,30
"82",1,1.6,78.9291354946783,30
"83",0.4,1.6,1217.42143938053,30
"84",0.2,1.6,1768.12076300832,30
"85",0.19,1.6,666.517133818764,32
"86",0.78,1.6,78.9291354946783,32
"87",0,1.6,1217.42143938053,32
"88",0.02,1.6,1768.12076300832,32
"89",0.67,1.6,666.517133818764,33
"90",0.74,1.6,78.9291354946783,33
"91",0.31,1.6,1217.42143938053,33
"92",0.12,1.6,1768.12076300832,33
"93",1.06,1.6,666.517133818764,34
"94",0.72,1.6,78.9291354946783,34
"95",1.04,1.6,1217.42143938053,34
"96",1,1.6,1768.12076300832,34
"97",0.1,1.6,666.517133818764,35
"98",0.9,1.6,78.9291354946783,35
"99",0.04,1.6,1217.42143938053,35
"100",0.06,1.6,1768.12076300832,35
"101",0.45,1.6,666.517133818764,36
"102",0.83,1.6,78.9291354946783,36
"103",0.34,1.6,1217.42143938053,36
"104",0.18,1.6,1768.12076300832,36
"105",0.6,1.6,666.517133818764,37
"106",0.75,1.6,78.9291354946783,37
"107",0.36,1.6,1217.42143938053,37
"108",0.28,1.6,1768.12076300832,37
"109",0.19,1.6,666.517133818764,38
"110",0.76,1.6,78.9291354946783,38
"111",0.07,1.6,1217.42143938053,38
"112",0.01,1.6,1768.12076300832,38
"113",0.54,1.6,666.517133818764,39
"114",0.98,1.6,78.9291354946783,39
"115",0.39,1.6,1217.42143938053,39
"116",0.21,1.6,1768.12076300832,39
"117",0.65,1.6,666.517133818764,40
"118",0.82,1.6,78.9291354946783,40
"119",0.46,1.6,1217.42143938053,40
"120",0.25,1.6,1768.12076300832,40
