"","strptime.paste.as.character.PAA.PROFILE.DATA.cod.COLLECTION_DATE...","PAA.PROFILE.DATA.cod.NUMERIC_RESULT"
"1",2019-06-24 07:38:00,"24"
"2",2019-06-24 10:53:00,"21"
"3",2019-06-24 12:57:00,"23"
"4",2019-06-25 07:47:00,"24"
"5",2019-06-25 10:59:00,"23"
"6",2019-06-25 13:02:00,"23"
"7",2019-06-27 07:38:00,"27"
"8",2019-06-27 11:04:00,"24"
"9",2019-06-27 13:18:00,"21"
"10",2019-06-28 07:27:00,"27"
"11",2019-06-28 11:08:00,"24"
"12",2019-06-28 13:15:00,"21"
"13",2019-07-01 07:42:00,"22"
"14",2019-07-01 11:02:00,"22"
"15",2019-07-01 13:03:00,"21"
"16",2019-07-02 07:22:00,"23"
"17",2019-07-02 11:07:00,"20"
"18",2019-07-02 13:00:00,"25"
"19",2019-07-08 07:35:00,"25"
"20",2019-07-08 11:03:00,"21"
"21",2019-07-08 13:08:00,"19"
"22",2019-07-10 07:33:00,"23"
"23",2019-07-10 11:08:00,"24"
"24",2019-07-10 12:57:00,"23"
"25",2019-07-11 07:32:00,"24"
"26",2019-07-11 10:58:00,"23"
"27",2019-07-11 12:56:00,"20"
"28",2019-07-12 07:29:00,"25"
"29",2019-07-12 11:00:00,"22"
"30",2019-07-12 13:00:00,"20"
"31",2019-07-14 07:35:00,"27"
"32",2019-07-14 11:05:00,"22"
"33",2019-07-14 13:04:00,"19"
"34",2019-07-15 07:35:00,"24"
"35",2019-07-15 11:03:00,"19"
"36",2019-07-15 13:00:00,"19"
"37",2019-07-18 07:29:00,"26"
"38",2019-07-18 11:06:00,"26"
"39",2019-07-18 13:02:00,"32"
"40",2019-07-20 07:28:00,"26"
"41",2019-07-20 11:09:00,"16"
"42",2019-07-20 13:05:00,"26"
"43",2019-07-22 07:27:00,"27"
"44",2019-07-22 10:57:00,"28"
"45",2019-07-22 12:59:00,"18"
"46",2019-07-23 07:27:00,"22"
"47",2019-07-23 10:55:00,"26"
"48",2019-07-23 12:54:00,"19"
"49",2019-07-24 08:05:00,"31"
"50",2019-07-24 10:54:00,"27"
"51",2019-07-24 12:57:00,"22"
"52",2019-07-25 07:42:00,"23"
"53",2019-07-25 10:51:00,"30"
"54",2019-07-25 13:02:00,"23"
"55",2019-07-29 07:35:00,"24"
"56",2019-07-29 11:03:00,"22"
"57",2019-07-29 12:53:00,"20"
"58",2019-07-30 07:34:00,"22"
"59",2019-07-30 10:55:00,"25"
"60",2019-07-30 13:08:00,"26"
"61",2019-07-31 07:32:00,"27"
"62",2019-07-31 11:00:00,"26"
"63",2019-07-31 13:01:00,"21"
"64",2019-08-01 07:38:00,"22"
"65",2019-08-01 10:59:00,"23"
"66",2019-08-01 13:09:00,"21"
