"","strptime.paste.as.character.PAA.PROFILE.DATA.tss.COLLECTION_DATE...","PAA.PROFILE.DATA.tss.NUMERIC_RESULT"
"1",2019-06-24 07:38:00,"7"
"2",2019-06-24 07:54:00,"4"
"3",2019-06-24 11:12:00,"9"
"4",2019-06-24 10:53:00,"10"
"5",2019-06-24 13:15:00,"8"
"6",2019-06-24 12:57:00,"8"
"7",2019-06-25 07:47:00,"7"
"8",2019-06-25 08:18:00,"5"
"9",2019-06-25 11:23:00,"9"
"10",2019-06-25 10:59:00,"12"
"11",2019-06-25 13:33:00,"8"
"12",2019-06-25 13:02:00,"11"
"13",2019-06-27 07:38:00,"7"
"14",2019-06-27 08:05:00,"9"
"15",2019-06-27 11:26:00,"9"
"16",2019-06-27 11:04:00,"9"
"17",2019-06-27 13:38:00,"8"
"18",2019-06-27 13:18:00,"10"
"19",2019-06-28 07:27:00,"6"
"20",2019-06-28 08:05:00,"5"
"21",2019-06-28 11:51:00,"7"
"22",2019-06-28 11:08:00,"8"
"23",2019-06-28 13:52:00,"8"
"24",2019-06-28 13:15:00,"9"
"25",2019-07-01 07:42:00,"6"
"26",2019-07-01 07:57:00,"5"
"27",2019-07-01 11:32:00,"8"
"28",2019-07-01 11:02:00,"9"
"29",2019-07-01 13:31:00,"8"
"30",2019-07-01 13:03:00,"7"
"31",2019-07-02 07:22:00,"6"
"32",2019-07-02 07:57:00,"5"
"33",2019-07-02 11:32:00,"6"
"34",2019-07-02 11:07:00,"7"
"35",2019-07-02 13:22:00,"6"
"36",2019-07-02 13:00:00,"9"
"37",2019-07-08 07:35:00,"7"
"38",2019-07-08 07:56:00,"5"
"39",2019-07-08 11:27:00,"6"
"40",2019-07-08 11:03:00,"6"
"41",2019-07-08 13:30:00,"10"
"42",2019-07-08 13:08:00,"9"
"43",2019-07-10 07:33:00,"10"
"44",2019-07-10 07:51:00,"10"
"45",2019-07-10 11:25:00,"7"
"46",2019-07-10 11:08:00,"8"
"47",2019-07-10 13:17:00,"6"
"48",2019-07-10 12:57:00,"11"
"49",2019-07-11 07:32:00,"7"
"50",2019-07-11 07:54:00,"6"
"51",2019-07-11 11:19:00,"7"
"52",2019-07-11 10:58:00,"6"
"53",2019-07-11 13:19:00,"6"
"54",2019-07-11 12:56:00,"6"
"55",2019-07-12 07:29:00,"7"
"56",2019-07-12 07:46:00,"5"
"57",2019-07-12 11:19:00,"6"
"58",2019-07-12 11:00:00,"8"
"59",2019-07-12 13:19:00,"6"
"60",2019-07-12 13:00:00,"7"
"61",2019-07-14 07:35:00,"7"
"62",2019-07-14 08:00:00,"5"
"63",2019-07-14 11:24:00,"7"
"64",2019-07-14 11:05:00,"8"
"65",2019-07-14 13:24:00,"5"
"66",2019-07-14 13:04:00,"6"
"67",2019-07-15 07:35:00,"6"
"68",2019-07-15 08:00:00,"5"
"69",2019-07-15 11:30:00,"6"
"70",2019-07-15 11:03:00,"6"
"71",2019-07-15 13:43:00,"6"
"72",2019-07-15 13:00:00,"7"
"73",2019-07-18 07:29:00,"5"
"74",2019-07-18 07:50:00,"4"
"75",2019-07-18 11:28:00,"6"
"76",2019-07-18 11:06:00,"8"
"77",2019-07-18 13:22:00,"6"
"78",2019-07-18 13:02:00,"6"
"79",2019-07-20 07:28:00,"4"
"80",2019-07-20 07:52:00,"4"
"81",2019-07-20 11:29:00,"5"
"82",2019-07-20 11:09:00,"5"
"83",2019-07-20 13:34:00,"6"
"84",2019-07-20 13:05:00,"5"
"85",2019-07-22 07:27:00,"5"
"86",2019-07-22 07:54:00,"3"
"87",2019-07-22 11:20:00,"5"
"88",2019-07-22 10:57:00,"6"
"89",2019-07-22 13:23:00,"4"
"90",2019-07-22 12:59:00,"6"
"91",2019-07-23 07:27:00,"5"
"92",2019-07-23 07:47:00,"4"
"93",2019-07-23 11:12:00,"6"
"94",2019-07-23 10:55:00,"6"
"95",2019-07-23 13:12:00,"5"
"96",2019-07-23 12:54:00,"6"
"97",2019-07-24 08:05:00,"7"
"98",2019-07-24 08:30:00,"5"
"99",2019-07-24 11:16:00,"7"
"100",2019-07-24 10:54:00,"8"
"101",2019-07-24 13:21:00,"7"
"102",2019-07-24 12:57:00,"9"
"103",2019-07-25 07:42:00,"4"
"104",2019-07-25 08:02:00,"4"
"105",2019-07-25 11:14:00,"6"
"106",2019-07-25 10:51:00,"8"
"107",2019-07-25 13:22:00,"6"
"108",2019-07-25 13:02:00,"7"
"109",2019-07-29 07:35:00,"4"
"110",2019-07-29 07:57:00,"3"
"111",2019-07-29 11:24:00,"6"
"112",2019-07-29 11:03:00,"10"
"113",2019-07-29 13:12:00,"6"
"114",2019-07-29 12:53:00,"8"
"115",2019-07-30 07:34:00,"5.13"
"116",2019-07-30 07:51:00,"3"
"117",2019-07-30 11:15:00,"6"
"118",2019-07-30 10:55:00,"10"
"119",2019-07-30 13:27:00,"7"
"120",2019-07-30 13:08:00,"7"
"121",2019-07-31 07:32:00,"6"
"122",2019-07-31 07:56:00,"4"
"123",2019-07-31 11:17:00,"9"
"124",2019-07-31 11:00:00,"8"
"125",2019-07-31 13:20:00,"6"
"126",2019-07-31 13:01:00,"11"
"127",2019-08-01 07:38:00,"19"
"128",2019-08-01 08:02:00,"6"
"129",2019-08-01 11:20:00,"14"
"130",2019-08-01 10:59:00,"11"
"131",2019-08-01 13:29:00,"8"
"132",2019-08-01 13:09:00,"10"
